,REFERENCIA IMAGENES,TIPO,PRODUCTO,MARCA,PRECIO,DESCRIPCION
1,afeitadora-electrica-winco,Afeitadoras,Afeitadora eléctrica Winco,WINCO,700,"Voltaje: 220V. Afeitadora eléctrica inalámbrica con un tiempo de funcionamiento de 3 horas. Sistema de afeitado rotativo para un corte eficiente. Tres cabezales removibles para afeitado, nariz y patillas. Cuatro peines ajustables para diferentes longitudes de vello. Resistente al agua para fácil limpieza y mantenimiento. Incluye accesorios como aceite y cepillo para prolongar la vida útil."
2,aireacondicionado-split-Tcl-5700w,Aire acondicionado,Aire acondicionado Split TCL 5700W,TCL,10.500,"Voltaje: 220V. Eficiencia energética A++ en refrigeración, optimiza el consumo para climas cálidos prolongados. Potencia de 19453260.981 BTU para mantener espacios de hasta 60 m² a temperatura óptima todo el año. Tecnología inverter reduce fluctuaciones térmicas y maximiza reposo en modo sueño durante la noche. Filtro de gas R-32 disminuye impacto ambiental sin comprometer rendimiento de calefacción.Incluye control remoto para ajustar temperatura y funciones de comodidad sin levantarse. Función deshumidificación puede aliviar humedad alta, mejorando el confort en días lluviosos."
3,anafe-2-hornallas-solreal,Anafes,Anafe 2 hornallas Solreal,SOL REAL,2.800,Tipos de alimentación: gas. Tipo de encendido: manual. Cantidad de hornallas: 2. Tipo de gas: multigas. Tipo de control: perillas. Materiales de la superficie: acero inoxidable. Tipo de montaje: de pie.
4,aspiradora-iInalambrica-yelmo,Aspiradoras,Aspiradora inalámbrica Yelmo,YELMO,1.000,Voltaje: 220V.Fuente de alimentación: batería. La batería dura 25 m. Se enciende manualmente. Permite limpiar muebles pisos y zonas altas con un solo equipo. Mejor calidad de aire mediante filtro HEPA lavable. Versatilidad con múltiples accesorios incluidos
5,aspiradora-trineo-ultracomb,Aspiradoras,Aspiradora Trineo Ultracomb,ULTRACOMB,1.200,Voltaje: 220V. Funciona sin bolsa. Manguera de 1.5m de largo. Fuente de alimentación: corriente eléctrica. Se enciende a pedal. Su potencia es de 2000W. Cable de 5m de largo que se enrolla automáticamente. Incluye accesorios.
6,atornillador-makita,Atornilladores,Atornillador Makita,MAKITA,2.200,Frecuencia: 60 Hz. Voltaje: 3.6V. El torque máximo de 6 Nm permite el ajuste preciso de tornillos con tarugos en paredes de concreto o madera. La velocidad de rotación constante de 220 rpm facilita el atornillado continuo en tareas de montaje de muebles. El mandril con encastre de 1/4 y tamaño de 6.35 mm permite intercambiar puntas compatibles con diversos tornillos. La batería de Li-ion de 1.5 A ofrece autonomía para jornadas de trabajo completas sin necesidad de recarga. La luz LED integrada ilumina el área de trabajo directa para visualizar la posición de los tornillos en sitios oscuros. Incluye un maletín de transporte con puntas de destornillador y adaptadores para organizar los accesorios de trabajo.
7,avion-drone-control-remoto,Avion drone,Avion Drone Juguete,FLYING PRINCE,950,Vehículo a recargable usb.El control remoto utiliza 3 pilas AAA. Alcanza velocidades de hasta 20km/h. Pilas no incluidas. La edad mínima recomendada para utilizarlo es 8 años.
8,balanza-systel-croma-30,Balanzas,Balanza Systel Croma 30,SYSTEL,3.400,Ancho de la superficie de apoyo: 21.7 cm. Largo de la superficie de apoyo: 36.7 cm. Voltaje: 220V. Balanza digital con pantalla LED clara. Capacidad de peso hasta 31 kg para uso comercial. Superficie de apoyo de acero inoxidable duradero. Montaje en mostrador adecuado para espacios pequeños. Alimentación por corriente doméstica para funcionamiento continuo. Incluye impresora de ticket térmico de 57 mm en blanco.
9,bateria-musical-ninos,Juguetes,Batería musical para niños,FIRST BAND,1.300,Tambor grande de 44cm x 22cm para una experiencia musical completa. Incluye 1 platillo de acero inoxidable para variedad rítmica. Banquito y pedal incluidos para mayor comodidad y diversión.
10,bicicleta-dencar-R12-ninos,Bicicletas,Bicicleta Dencar R12 niños,DENCAR,1.500,"Rodado de 12 pulgadas, ideal para el aprendizaje inicial en ciclismo. Peso máximo soportado de 50 kg, adecuado para niñas en crecimiento. Material del cuadro de aluminio, garantizando durabilidad y resistencia. Rueditas de entrenamiento incluidas, brindando estabilidad y seguridad. Freno delantero para un control adecuado de la velocidad. Incluye manual de ensamblado para facilitar el montaje."
11,bicicleta-gts-R16-Ninas,Bicicletas,Bicicleta GTS R16 niñas,GTS,2.700,"Cantidad de velocidades: 1. Género: Niños. Tamaño del cuadro: 16 "". Rodado: 16. Material del cuadro: acero. Dispone de manubrio elevado. Peso: 10kg."
12,bicicleta-infantil-nathor-charm,Bicicletas,Bicicleta infantil Nathor Charm,NATHOR CHARM,1.500,"Tipo de freno trasero: Freno de tambor. Tipo de freno delantero: Tambor. Cantidad de velocidades: 1. Género: Niñas. Tamaño del cuadro: 12 "". Rodado: 12. Cuadro de acero al carbono resistente. Llanta de doble pared de ABS. Peso del producto: 3.980 kilos. Freno de tambor delantero. Sillín regulable en altura. Ruedas de entrenamiento incluidas."
13,bicicleta-mtb-overtech-R29-gris,Bicicletas,Bicicleta MTB Overtech R29 gris,OVERTECH,3.100,Cambios traseros: SHIMANO TY21. Tipo de freno delantero: Disco mecánico. Cantidad de velocidades: 21. Género: Sin género. Rodado: 29. Material del cuadro: acero. Con frenos: Disco mecánico. Con cambios delanteros SUNRUN FD-35 y traseros SHIMANO TY21. Con pie de apoyo. Peso: 16kg.
14,bicicleta-mtb-overtech-R29-rosa,Bicicletas,Bicicleta MTB Overtech R29 rosa,OVERTECH,3.000,Cambios traseros: SHIMANO TY21. Tipo de freno delantero: Disco mecánico. Cantidad de velocidades: 21. Género: Sin género. Rodado: 29. Material del cuadro: acero. Con frenos: Disco mecánico. Con cambios delanteros SUNRUN FD-35 y traseros SHIMANO TY21. Con pie de apoyo. Peso: 16kg.
15,bicicleta-ts-R16-Ninos,Bicicletas,Bicicleta TS R16 niños,TS,2.700,"Tipo de freno delantero: V-brakes. Género: Sin género. Tamaño del cuadro: 16 "". Rodado: 16. Material del cuadro: aluminio. Dispone de manubrio acero con puños suaves. Con frenos: V-brakes. Con pie de apoyo. Peso: 8.6kg."
16,bloques-magneticos-128-piezas,Juguetes,Bloques magnéticos 128 piezas,BLOQUES,1.100,Cantidad de piezas: 128. Figura de Lava y Princesa incluida. El set contiene 128 piezas de imán y plástico. Con bloques magnéticos. Contiene piezas en forma de 2.5cm y cubos.
17,cafetera-nespresso-essenza,Cafeteras,Cafetera Nespresso Essenza,NESPRESSO,2.350,Voltaje: 220V. Cafetera automática. Su capacidad es de 600 mL. Con espumador de leche. Con dispositivo de antigoteo.
18,calefactor-mica-peabody-2000w,Calefactores,Calefactor Mica Peabody 2000W,PEABODY,2.000,Potencia maxima 2000w. Modelo: pe-cm-20
19,calefactor-tiro-balanceado-emege-2000kcal,Calefactores,Calefactor tiro balanceado EMEGE 2000 kcal,EMEGE,3.000,"Tipo de conexión: Multigas. Potencia de calefacción de 2000 kcal/h para calidez efectiva. Área de calefacción de hasta 15 m², ideal para espacios pequeños. Diseño de pared con tiraje posterior para instalación eficiente. Incluye válvula de seguridad que corta el gas en caso de apagado. Encendido piezoeléctrico para mayor comodidad. Dimensiones compactas: 62 cm alto, 31 cm ancho y 13 cm de profundidad."
20,calefactor-tiro-balanceado-emege-5400kcal,Calefactores,Calefactor tiro balanceado EMEGE 5400 kcal,EMEGE,4.700,Potencia de calefacción de 5400 Kcal/h para ambientes confortables. Área de calefacción de 55 m² ideal para espacios medianos. Encendido piezoeléctrico que facilita su uso diario. Frente frío para mayor seguridad en hogares con niños.
21,calefon-senorial-evolucion-max-14lts,Calefones,Calefón Señorial Evolución Max 14L,SEÑORIAL,3.700,Tipo de gas: GN. Tipo de tiraje: natural. Ideal para calentar agua y utilizarla en tu hogar. Las imágenes pueden ser ilustrativas.
22,caloventor-electrico-delhi-hogar,Caloventores,Caloventor eléctrico Delhi Hogar,DELHI,300,Voltaje: 220V. Potencia máxima de 2000W. 2 niveles de potencia. Cuenta con protección contra sobrecalentamiento. Tiene termostato. Fabricado en plástico. Modo ventilación incluido. Medidas: 30cm de altura x 25cm de ancho x 25cm de largo.
